,mean,med,std
2012-05-15,8.022295762914192,8.39612079399661,6.80426977688416
2012-05-16,7.825452869386749,7.1947601010101,6.789430861431719
2012-05-17,7.97535027527151,7.840269966254218,6.852524702806852
2012-05-18,7.849157185181687,7.296462829736211,6.8221971390292
2012-05-21,7.897817325558022,7.3029950968643496,6.831708643012886
2012-05-22,7.949852505386689,7.4456703049998625,6.894264160589361
2012-05-23,8.218001437244398,8.739495798319327,6.897147702109182
2012-05-24,8.120933896578304,8.798521256931608,6.804223591514885
2012-05-25,8.074831008161084,8.65042174320525,6.784784215716379
2012-05-28,8.313901273053641,8.876923076923076,6.9710911135783045
2012-05-29,8.312011636211828,8.815094339622641,7.006343838777615
2012-05-30,8.264466845866252,8.711040676175383,7.100616546249131
2012-05-31,8.010240868676968,7.926404853128991,6.931553505869975
2012-06-01,7.919143680315265,7.118155619596542,6.913040454428372
2012-06-04,8.067876867213919,8.269876819708847,6.99323971934368
2012-06-05,8.04614549315744,8.355855855855856,6.983129718524217
2012-06-06,8.27544421854147,8.575875486381323,7.097223743107729
2012-06-07,8.239622820363495,8.506184586108468,7.059764619682072
2012-06-08,7.974019290850334,7.338028169014085,7.150178558445153
2012-06-11,8.196505640013491,8.584637432620319,7.080094153230237
2012-06-12,8.20630074455742,8.654523883999651,7.109014458920278
2012-06-13,8.307151422080294,8.647058823529411,7.121865873235316
2012-06-14,8.02132920925588,8.56338028169014,6.960674214872399
2012-06-15,7.913125982780114,7.805847806986746,6.892723878560424
2012-06-18,7.989106545911603,7.206946454413894,7.128030722383505
2012-06-19,8.128011953184942,8.498817966903074,7.1183850918140426
2012-06-20,8.251947562147327,8.630393996247655,7.085882858106696
2012-06-21,7.931597449142194,7.046783625730994,7.087977481813218
2012-06-25,7.959188494939162,8.015028177833438,6.955662829132461
2012-06-26,8.090928290534125,7.772979642196175,7.10218749868677
2012-06-27,7.850039210979926,4.898976982097186,7.13923787908764
2012-06-28,7.4935227427966185,2.148214285714286,7.063073860328482
2012-06-29,7.7288903564970965,2.4453169543357696,7.179549984042592
2012-07-02,8.103773056385576,7.969238892365457,7.109530141241229
2012-07-03,8.095743427253458,7.420170285126673,7.248361138910959
2012-07-04,8.097020204801044,7.757188498402557,7.209826523868146
2012-07-05,8.041964232775728,7.728181212524984,7.136873433449258
2012-07-06,8.213064765119123,8.123791102514508,7.1177594462950395
2012-07-09,7.9811017120850485,7.638225255972696,7.035578233765398
2012-07-10,7.929404079918693,8.107843137254902,6.961472185672693
2012-07-11,7.945354023927898,8.120740019474196,6.985805377457924
2012-07-12,8.018665990196748,8.121387283236993,7.046049357375155
2012-07-13,8.01879445792669,8.081395348837209,7.0721778821818955
2012-07-16,8.007897392050348,8.350330638684351,7.0392127022441455
2012-07-17,8.022358152457675,8.387794674145145,7.041571507602512
2012-07-18,8.055724479377904,8.466864727586373,7.049327375723821
2012-07-19,8.12611013603651,8.51732000167343,7.098333969781919
2012-07-20,8.030952263780481,8.202357563850686,7.06941446198399
2012-07-23,7.966557592043473,8.053097345132741,7.0112734828397265
2012-07-24,8.003640209193069,8.151425762045228,7.048035561896612
2012-07-25,8.384912466861557,8.362462006079028,7.278953381305266
2012-07-26,8.32290150924898,8.348056537102472,7.297820815105617
2012-07-27,8.262232676465445,8.308631211857017,7.23070794547945
2012-07-30,8.764854427214452,8.711151736745885,7.666915869706037
2012-07-31,8.904844792353257,8.820286659316427,7.833043976298817
2012-08-01,8.869681201403722,8.75,7.840381941498404
2012-08-02,8.699019969932134,8.46332316168852,7.729712115471142
2012-08-03,8.751254882410805,8.540145985401459,7.738214679097927
2012-08-06,8.662932263280121,8.605683836589698,7.675858771362942
2012-08-07,8.722302856197286,8.661909009812668,7.731305494925615
2012-08-08,8.506475321361021,8.236318088386433,7.520438214073191
2012-08-09,8.485696665394366,8.22148928565879,7.489900986355074
2012-08-10,8.643962584059356,8.201999051833123,7.727962437925865
2012-08-13,8.716435894835715,8.21880650994575,7.82619198817463
2012-08-14,8.654951016633554,8.222891455203793,7.757966772884999
2012-08-15,8.49532537055126,7.690909090909091,7.68066912156823
2012-08-16,8.459792418620575,7.690909090909091,7.667169465867837
2012-08-17,8.446500914841021,7.747252747252747,7.663184493425492
2012-08-20,8.432999996824115,7.554347826086956,7.650734843064252
2012-08-21,8.447527585488185,7.594936708860761,7.681670363378479
2012-08-22,8.398019711651976,7.633027522935779,7.639524524172427
2012-08-23,8.110243629484307,5.519024693275354,7.306642417693225
2012-08-24,8.026250004116283,5.5792892156862735,7.189585814671699
2012-08-27,8.003860670536747,5.659643605870021,7.197524277645716
2012-08-28,8.190876793239331,7.689393939393939,7.423411092505591
2012-08-29,8.201844773573269,7.587548638132295,7.469433236674839
2012-08-30,8.136309237578685,7.514450867052023,7.4108699902914985
2012-08-31,8.181018987163752,7.572815533980582,7.4655936592103
2012-09-03,8.005536082726918,5.483000604960678,7.33255874063217
2012-09-04,7.973188919797214,5.487263806242823,7.322332000212749
2012-09-05,8.183904214681931,7.316602316602316,7.5000568093117534
2012-09-06,8.189000533461313,7.39961759082218,7.502927217510353
2012-09-07,8.189271084159603,7.362637362637361,7.51314165006045
